"SUBJECT","ROUND","SURVEY_DAY","RESPONDER","SEASON","CONSUMPTION_DAY","CONSUMPTION_MONTH","CONSUMPTION_YEAR","WEEK_DAY","EXCEPTION_DAY","CONSUMPTION_TIME_HOUR","CONSUMPTION_TIME_MINUTES","MEAL_NAME","PLACE","FOOD_TYPE","RECIPE_CODE","RECIPE_DESCR","RECIPE_DESCR_ENG","FOODEX2_RECIPE_CODE","FOODEX2_RECIPE_DESCR","AMOUNT_RECIPE","CODE_INGREDIENT","INGREDIENT","INGREDIENT_ENG","FOODEX2_INGR_CODE","FOODEX2_INGR_DESCR","FOOD_AMOUNT_UNPROC","FOOD_AMOUNT_CONS","FOOD_AMOUNT_REPORTED","ENERGY_kcal","WATER_g","PROTEIN_g","A_PROT_g","V_PROT_g","CARBOH_g","SUGAR_g","FIBTG_g","ALCOHOL_g","FAT_g","SAT_FAT_g","MUFA_g","PUFA_g","TFA_g","CHOL_mg","CALC_mg","IRON_mg","ZINC_mg","MG_mg","PHOS_mg","POTA_mg","NA_mg","CU_mg","IOD_mcg","SE_mcg","MN_mg","VITC_mg","THIA_mg","RIBO_mg","NIAC_mg","VITB5_mg","VITB6_mg","FOLDFE_mcg","FOL_mcg","FOLFD_mcg","FOLFRE_mcg","FOLAC_mcg","VITB12_mcg","VITA_RAE_mcg","VITA_RE_mcg","BCAROT_mcg","RETOL_mcg","VITD_mcg","VITE_mg","VITK_mcg","PHY_mg","VERSION"
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"C341001","MAIZE WHOLEMEAL",,"A002P","Maize meal",,525,525,1829,57.5,50.14,,,335.47,,54.9,,19.69,,,,,,116,17.59,11,467,1352,1667,100,,,,,13.12,1.444,0.446,8.4,,,,373,,,,0,35,70,417,0,,,,,"14 April 2025"
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"N110000","DRINKING WATER",,"A03DK","Drinking water",,1000,1000,0,1000,0,,,0,,0,,0,,,,,,10,0,0,10,0,0,20,,,,,0,0,0,0,,,,0,,,,0,0,0,0,0,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"N110000","DRINKING WATER",,"A03DK","Drinking water",,500,500,0,500,0,,,0,,0,,0,,,,,,5,0,0,5,0,0,10,,,,,0,0,0,0,,,,0,,,,0,0,0,0,0,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"T000021","FISHES COOKED",,"A026V#F28.A0BA1","Fish (meat), PROCESS = Cooking and similar thermal preparation processes",,120,120,171,53.5,17.6,,,7.26,,0.2,,9.61,,,,,,83,1.12,1.05,32,246,268,348,,,,,0.09,0.077,0.163,5.692,,,,13,,,,4.6,237,237,1,218,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"U000021","MEAT COOKED",,"A0EYH#F28.A0BA1","Mammals and birds meat, PROCESS = Cooking and similar thermal preparation processes",,64,64,143,30,14.11,,,1.55,,0.1,,9.27,,,,,,10,1.14,1.7,13,118,141,107,,,,,0.3,0.048,0.104,3.293,,,,5,,,,0.6,12,13,3,12,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"Z000008","FRIED PLANTAIN",,"A01LE#F28.A07GR","Plantains, PROCESS = Frying",,65,65,244,15.3,1.36,,,33.6,,2.4,,10.98,,,,,,8,1.1,0.14,38,27,510,211,,,,,18.85,0.046,0.052,0.65,,,,18,,,,0,13,26,155,0,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"_000012","RICE WHITE BOILED",,"A001D#F28.A07GL$F10.A0F2R","Rice grain, PROCESS = Boiling, QUALITATIVE-INFO = White",,405,405,467,285.5,9.31,,,103.28,,4.9,,0.81,,,,,,20,2.43,1.86,61,219,134,4,,,,,0,0.081,0.04,2.025,,,,16,,,,0,0,0,0,0,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"_000089","OGBONO SOUP (BUSH MANGO SEED, PEPPER, OIL, SALT AND MAGGI)",,"A041L#F04.A0DQF$F04.A019F$F04.A042P$F04.A042Y$F04.A037N","Soups (ready-to-eat), INGREDIENT = Mangoes and similar-, INGREDIENT = West African pepper fruit, INGREDIENT = Salt, INGREDIENT = Seasoning mixes, INGREDIENT = Palm oil/fat",,45,45,162,16.2,8.84,,,1.01,,1.4,,13.36,,,,,,109,0.96,1.3,19,117,157,846,,,,,2.39,0.039,0.069,1.733,,,,6,,,,2.67,24,41,201,7,,,,,
1,1,1,"1","Lean season",,,,,,,,,,,,,,,,,"_000098","EFO RIRO (GREEN LEAFY VEGETABLES)",,"A041L#F04.A00MJ$F04.A00HC$F04.A0DMX$F04.A019F$F04.A042P","Soups (ready-to-eat), INGREDIENT = Spinaches, INGREDIENT = Onions, INGREDIENT = Tomatoes, INGREDIENT = West African pepper fruit, INGREDIENT = Salt",,113,113,31,84.7,2.49,,,3.05,,2.6,,0.39,,,,,,77,2.23,0.46,59,51,465,471,,,,,29.43,0.073,0.143,0.744,,,,95,,,,0,111,222,1332,0,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"N110000","DRINKING WATER",,"A03DK","Drinking water",,330,330,0,330,0,,,0,,0,,0,,,,,,3,0,0,3,0,0,7,,,,,0,0,0,0,,,,0,,,,0,0,0,0,0,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"N320000","CARBONATED SOFT DRINKS",,"A03EX","Soft drink, flavoured, no fruit",,350,350,143,314.2,0.17,,,35.49,,0,,0.07,,,,,,7,0.38,0.14,4,0,4,32,,,,,0,0,0,0.052,,,,0,,,,0,0,0,0,0,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"T000021","FISHES COOKED",,"A026V#F28.A0BA1","Fish (meat), PROCESS = Cooking and similar thermal preparation processes",,35,35,50,15.6,5.13,,,2.12,,0,,2.8,,,,,,24,0.33,0.31,9,72,78,102,,,,,0.03,0.023,0.048,1.66,,,,4,,,,1.34,69,69,0,64,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"T000021","FISHES COOKED",,"A026V#F28.A0BA1","Fish (meat), PROCESS = Cooking and similar thermal preparation processes",,35,35,50,15.6,5.13,,,2.12,,0,,2.8,,,,,,24,0.33,0.31,9,72,78,102,,,,,0.03,0.023,0.048,1.66,,,,4,,,,1.34,69,69,0,64,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"_000013","JOLLOF RICE",,"A041G#F04.A00HC$F04.A0DMX$F04.A019F$F04.A042P$F04.A042Y","Rice and vegetables meal, INGREDIENT = Onions, INGREDIENT = Tomatoes, INGREDIENT = West African pepper fruit, INGREDIENT = Salt, INGREDIENT = Seasoning mixes",,1000,1000,631,740,16.63,,,127.24,,15.6,,2.76,,,,,,212,7.98,3.15,137,480,1614,3273,,,,,228.25,0.393,0.402,5.462,,,,114,,,,0,218,436,2616,0,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"_000032","YAM, SUNDRIED, MILLED, POWDER, COOKED INTO PASTE",,"A16RD#F28.A07LA$F28.A07KK$F03.A06JF","Dried starchy roots and tuber products, PROCESS = Grinding / milling / crushing, PROCESS = Sun drying, PHYSICAL-STATE = Paste",,70,70,68,40.3,0.95,,,14.23,,3,,0.1,,,,,,5,0.15,0.22,5,31,200,3,,,,,5.97,0.03,0.01,0.348,,,,11,,,,0,0,0,0,0,,,,,
1,1,2,"1","Lean season",,,,,,,,,,,,,,,,,"_000097","EWEDU SOUP",,"A041L#F28.A0CRJ$F28.A07GL$F04.A0DKD$F04.A16QA$F04.A042P","Soups (ready-to-eat), PROCESS = Blending, PROCESS = Boiling, INGREDIENT = Green amaranth leaves, INGREDIENT = African locust bean (with pods), INGREDIENT = Salt",,135,135,17,109.4,1.33,,,1.6,,1.5,,0.24,,,,,,51,1.22,0.16,17,25,66,1450,,,,,6.67,0.027,0.052,0.235,,,,17,,,,0.01,37,74,446,0,,,,,
