SUBJECT,SURVEY_DAY,FOODEX2_INGR_DESCR,Item,Transaction_ID
1,1,Maize meal,maize meal,1_1
1,1,"Fish (meat), PROCESS = Cooking and similar thermal preparation processes",fish (meat),1_1
1,1,"Mammals and birds meat, PROCESS = Cooking and similar thermal preparation processes",mammals and birds meat,1_1
1,1,"Plantains, PROCESS = Frying",plantains,1_1
1,1,"Rice grain, PROCESS = Boiling, QUALITATIVE-INFO = White",rice grain,1_1
1,1,"Soups (ready-to-eat), INGREDIENT = Mangoes and similar-, INGREDIENT = West African pepper fruit, INGREDIENT = Salt, INGREDIENT = Seasoning mixes, INGREDIENT = Palm oil/fat",soups (ready-to-eat),1_1
1,1,"Soups (ready-to-eat), INGREDIENT = Spinaches, INGREDIENT = Onions, INGREDIENT = Tomatoes, INGREDIENT = West African pepper fruit, INGREDIENT = Salt",soups (ready-to-eat),1_1
1,2,"Soft drink, flavoured, no fruit",soft drink,1_2
1,2,"Fish (meat), PROCESS = Cooking and similar thermal preparation processes",fish (meat),1_2
1,2,"Fish (meat), PROCESS = Cooking and similar thermal preparation processes",fish (meat),1_2
1,2,"Rice and vegetables meal, INGREDIENT = Onions, INGREDIENT = Tomatoes, INGREDIENT = West African pepper fruit, INGREDIENT = Salt, INGREDIENT = Seasoning mixes",rice and vegetables meal,1_2
1,2,"Dried starchy roots and tuber products, PROCESS = Grinding / milling / crushing, PROCESS = Sun drying, PHYSICAL-STATE = Paste",dried starchy roots and tuber products,1_2
1,2,"Soups (ready-to-eat), PROCESS = Blending, PROCESS = Boiling, INGREDIENT = Green amaranth leaves, INGREDIENT = African locust bean (with pods), INGREDIENT = Salt",soups (ready-to-eat),1_2
2,1,Maize semolina,maize semolina,2_1
2,1,"Cocoa beverage-preparation, powder, INGREDIENT = Milk and dairy powders and concentrates, SWEETENING-AGENT = Sugars (mono- and di-saccharides)",cocoa beverage-preparation,2_1
2,1,"Mammals and birds meat, PROCESS = Cooking and similar thermal preparation processes",mammals and birds meat,2_1
2,1,"Cassava roots, PROCESS = Grinding / milling / crushing, PROCESS = Bacteria fermentation, PROCESS = Frying, QUALITATIVE-INFO = White",cassava roots,2_1
